127.0.0.1 - - [02/Jan/2018:10:09:17 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/jquery.easing.min.js HTTP/1.1" 200 5555
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/wow.js HTTP/1.1" 200 15242
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/scripts.js HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/lake.jpg HTTP/1.1" 200 167991
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/beach.jpg HTTP/1.1" 200 330067
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/fonts/ionicons.ttf?v=2.0.1 HTTP/1.1" 200 188508
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/Life-of-Pix-free-stock-photos-Slate-Stone-Xeromatic-1440x953.jpg HTTP/1.1" 200 406644
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/deer.jpg HTTP/1.1" 200 235299
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/city.jpg HTTP/1.1" 200 294726
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/bike.jpg HTTP/1.1" 200 767946
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/colors.jpg HTTP/1.1" 200 460355
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:56 +0800] "GET /lsq-spring-boot-mybatis-1.1/back HTTP/1.1" 200 16556
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/styles.css HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart-data.js HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart-data.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart.min.js HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap-datepicker.js HTTP/1.1" 200 46822
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:57 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:59 +0800] "GET /lsq-spring-boot-mybatis-1.1/balance HTTP/1.1" 200 22301
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:59 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/styles.css HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:59 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:59 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
